fecha,imagen,nombre,distribuidor,precio
30-03-2023,https://m.media-amazon.com/images/I/61JNPqSDvdS._AC_UY218_.jpg,davines champú - 280 ml,LuiLeiBeauty,"20,90 €"
30-03-2023,https://m.media-amazon.com/images/I/61R0Gfz7SoL._AC_UY218_.jpg,davines champú love smoothing - 250 ml,LuiLeiBeauty,"18,80 €"
30-03-2023,https://m.media-amazon.com/images/I/71XAYvBZTkL._AC_UY218_.jpg,davines heart of glass silkening champu 250 ml,LuiLeiBeauty,"20,00 €"
30-03-2023,https://m.media-amazon.com/images/I/71kMQxQ4VHL._AC_UY218_.jpg,davines naturaltech replumping champú 250 ml,LuiLeiBeauty,"21,40 €"
30-03-2023,https://m.media-amazon.com/images/I/71IXlMO4HRL._AC_UY218_.jpg,davines love smooth mask 250ml disciplinante nuevo formato,LuiLeiBeauty,"23,90 €"
30-03-2023,https://m.media-amazon.com/images/I/71ONvn43fDL._AC_UY218_.jpg,davines naturaltech replumping acondicionador 150 ml,LuiLeiBeauty,"21,50 €"
30-03-2023,https://m.media-amazon.com/images/I/61eQxA53VLL._AC_UY218_.jpg,davines essential nounou mask 250 ml - 250 ml,LuiLeiBeauty,"25,90 €"
30-03-2023,https://m.media-amazon.com/images/I/61VFtW881fL._AC_UY218_.jpg,"davines momo - champú, 250 ml (881-42109)",LuiLeiBeauty,"18,80 €"
30-03-2023,https://m.media-amazon.com/images/I/614MHILl3bL._AC_UY218_.jpg,"davines volu - champú, 250 ml",LuiLeiBeauty,"18,80 €"
30-03-2023,https://m.media-amazon.com/images/I/81rSIbr2v9L._AC_UY218_.jpg,"davines 69230 - champú, 250 ml",LuiLeiBeauty,"21,40 €"
30-03-2023,https://m.media-amazon.com/images/I/51tqI4Llw6L._AC_UY218_.jpg,"davines minu - champú, 250 ml",LuiLeiBeauty,"18,80 €"
30-03-2023,https://m.media-amazon.com/images/I/71wmKzvGLML._AC_UY218_.jpg,davines naturaltech shampoing energizing 250ml.,LuiLeiBeauty,"21,40 €"
30-03-2023,https://m.media-amazon.com/images/I/71eQCAdLgUL._AC_UY218_.jpg,davines oi oil absolute beautifying potion 135 ml,LuiLeiBeauty,"44,80 €"
30-03-2023,https://m.media-amazon.com/images/I/61frKUCrCDL._AC_UY218_.jpg,davines heart of glass rich acondicionador 250 ml,LuiLeiBeauty,"30,20 €"
