fecha,imagen,nombre,distribuidor,precio
13-04-2023,https://m.media-amazon.com/images/I/61JNPqSDvdS._AC_UY218_.jpg,davines champú - 280 ml,Hairlowers,"22,15 €"
13-04-2023,https://m.media-amazon.com/images/I/71XAYvBZTkL._AC_UY218_.jpg,davines heart of glass silkening champu 250 ml,Hairlowers,"19,90 €"
13-04-2023,https://m.media-amazon.com/images/I/71kMQxQ4VHL._AC_UY218_.jpg,davines naturaltech replumping champú 250 ml,Hairlowers,"22,00 €"
13-04-2023,,charlemagne spray de sal marina para el cabello - spray de agua salada - sea salt spray hair men - spray de volumen textura para el cabello - spray de agua salada mate - spray ondas de playa,Hairlowers,
13-04-2023,https://m.media-amazon.com/images/I/61R0Gfz7SoL._AC_UY218_.jpg,davines champú love smoothing - 250 ml,Hairlowers,"19,15 €"
13-04-2023,https://m.media-amazon.com/images/I/71ONvn43fDL._AC_UY218_.jpg,davines naturaltech replumping acondicionador 150 ml,Hairlowers,"20,90 €"
13-04-2023,https://m.media-amazon.com/images/I/71eQCAdLgUL._AC_UY218_.jpg,davines oi oil absolute beautifying potion 135 ml,Hairlowers,"36,90 €"
13-04-2023,https://m.media-amazon.com/images/I/61VFtW881fL._AC_UY218_.jpg,"davines momo - champú, 250 ml (881-42109)",Hairlowers,"22,00 €"
13-04-2023,https://m.media-amazon.com/images/I/7101O1RUYlL._AC_UY218_.jpg,davines essential champú dede 295000 g,Hairlowers,"19,60 €"
13-04-2023,https://m.media-amazon.com/images/I/51tqI4Llw6L._AC_UY218_.jpg,"davines minu - champú, 250 ml",Hairlowers,"19,00 €"
13-04-2023,https://m.media-amazon.com/images/I/617hFXLgy1L._AC_UY218_.jpg,davines essential melu shampoo 250 ml,Hairlowers,"19,00 €"
13-04-2023,https://m.media-amazon.com/images/I/61L3TxAWYWL._AC_UY218_.jpg,davines naturaltech calming shampoo 250ml,Hairlowers,"19,75 €"
13-04-2023,https://m.media-amazon.com/images/I/8142knfncSL._AC_UY218_.jpg,davines naturaltech nourishing hair building pak 250 ml,Hairlowers,"30,10 €"
13-04-2023,https://m.media-amazon.com/images/I/61BE+HkCXLL._AC_UY218_.jpg,davines heart of glass sheer glaze 150 ml,Hairlowers,"24,00 €"
13-04-2023,https://m.media-amazon.com/images/I/710Mkvp7dwL._AC_UY218_.jpg,davines naturaltech nourishing champú 250 ml,Hairlowers,"21,20 €"
13-04-2023,https://m.media-amazon.com/images/I/31kv43SNoPL._AC_UY218_.jpg,davines solu/champú all hair types 250 ml,Hairlowers,"20,00 €"
13-04-2023,https://m.media-amazon.com/images/I/71aMsFzcohL._AC_UY218_.jpg,"davines natural tech energizing gel (for scalp & fragile, thinning hai.",Hairlowers,"29,00 €"
13-04-2023,https://m.media-amazon.com/images/I/61v-76U3i+L._AC_UY218_.jpg,natural tech nutritivo reparador milagro reparador sérum (para cabello extremadamente dañado),Hairlowers,"79,78 €"
13-04-2023,https://m.media-amazon.com/images/I/61v4ss6INzL._AC_UY218_.jpg,"sebastian professional dark oil | mascarilla capilar | hidrata y suaviza | aporta cuerpo | para todo tipo de cabello, 150 ml",Hairlowers,"23,50 €"
13-04-2023,https://m.media-amazon.com/images/I/61V7aBeAwJL._AC_UY218_.jpg,redken brews maneuver - cera para fijar el cabello con acabado mate,Hairlowers,"17,00 €"
13-04-2023,https://m.media-amazon.com/images/I/71RjVAaX4BL._AC_UY218_.jpg,"redken | mascarilla reparadora con proteínas para cabello dañado, extreme strength builder plus, formato 250 ml",Hairlowers,"26,44 €"
