fecha,imagen,nombre,distribuidor,precio,ASIN,EAN
18-04-2023,https://m.media-amazon.com/images/I/71XAYvBZTkL.__AC_SX300_SY300_QL70_ML2_.jpg,davines heart of glass silkening champu 250 ml,CorradoEquipe,20.0,B08SXSWC7Y,8004608271666
18-04-2023,https://m.media-amazon.com/images/I/91J036FcEYL.__AC_SY300_SX300_QL70_ML2_.jpg,davines more inside forming pomade 75ml,CorradoEquipe,24.5,B01H25XZKW,
18-04-2023,https://m.media-amazon.com/images/I/51h3qk1un+L._SX342_SY445_.jpg,davines naturaltech renewing conditioning treatment 250ml - acondicion.,CorradoEquipe,28.3,B06XSD22ZB,8004608255116
18-04-2023,https://m.media-amazon.com/images/I/81aUdq7DtvL.__AC_SY300_SX300_QL70_ML2_.jpg,davines momo moisturizing acondicionador - 250 ml,CorradoEquipe,26.58,B00OKRAPP4,8004608242147
18-04-2023,https://m.media-amazon.com/images/I/61cid+W5wCL._AC_SY300_SX300_.jpg,davines this is a curl gel oil 250ml new,CorradoEquipe,34.62,B09ZQ46S8C,
18-04-2023,https://m.media-amazon.com/images/I/71YTZdSpIXL.__AC_SX300_SY300_QL70_ML2_.jpg,davines energizing superactive hair serum 100ml,CorradoEquipe,74.5,B09BK9SPL9,8004608275374
18-04-2023,https://m.media-amazon.com/images/I/51z18aFaY+L._AC_SY300_SX300_.jpg,"daviness, cuidado del pelo y del cuero cabelludo - 60 ml",CorradoEquipe,16.5,B00VO6CERG,8004608245186
18-04-2023,https://m.media-amazon.com/images/I/71eUK8V6OGL.__AC_SX300_SY300_QL70_ML2_.jpg,davines naturaltech energizing seasonal superactive hair lotion 100ml,CorradoEquipe,77.8,EUCALYPTOL,8004608275381
18-04-2023,https://m.media-amazon.com/images/I/31EcJu7GivL._SY445_SX342_QL70_ML2_.jpg,davines love acondicionador taming enchancing curl - 250 ml (paquete de 1),CorradoEquipe,22.4,B073DC69S6,
18-04-2023,https://m.media-amazon.com/images/I/71IXlMO4HRL.__AC_SX300_SY300_QL70_ML2_.jpg,davines love smooth mask 250ml disciplinante nuevo formato,CorradoEquipe,25.9,B09PM1Y63S,8004608275565
18-04-2023,https://m.media-amazon.com/images/I/61WZVvH5WTS.__AC_SY300_SX300_QL70_ML2_.jpg,"davines soporte para barra de champú, 1 ct.",CorradoEquipe,12.5,B091F587HP,
18-04-2023,https://m.media-amazon.com/images/I/717j3O4NbpL._AC_SX522_.jpg,"davines we stand for regeneration - lavado para el cabello y el cuerpo de edición limitada, 8.45 onzas líquidas",CorradoEquipe,18.8,B0B4BNHMGD,
18-04-2023,https://m.media-amazon.com/images/I/61Sk9fwSlGL.__AC_SX300_SY300_QL70_ML2_.jpg,"daviness, acondicionador de pelo - 75 gr.",CorradoEquipe,12.5,B00VO6BQ98,8004608242963
18-04-2023,https://m.media-amazon.com/images/I/41miMlSN3lL._SX342_SY445_QL70_ML2_.jpg,davines authentic fórmulas cleansing nectar c&c - 280 ml,CorradoEquipe,24.8,B0040LRLE8,8004608226697
18-04-2023,https://m.media-amazon.com/images/I/31WfmI0AeIL.__AC_SY300_SX300_QL70_ML2_.jpg,"davines, set de regalo de pelo - 400 ml.",CorradoEquipe,27.5,B01LY8TERO,8004608252122
18-04-2023,https://m.media-amazon.com/images/I/71kTypzJCUL.__AC_SX300_SY300_QL70_ML2_.jpg,"davines dededede barra de champú, 3.53 oz",CorradoEquipe,18.7,B08Z6YKZMZ,
18-04-2023,https://m.media-amazon.com/images/I/31ZRnVx1CIL._SX342_SY445_QL70_ML2_.jpg,"davines natural tech energizing gel (for scalp & fragile, thinning hai.",CorradoEquipe,35.7,B074SJ9H4M,8004608255550
18-04-2023,https://m.media-amazon.com/images/I/31yDEoyhoeL._SX342_SY445_QL70_ML2_.jpg,davines essential solu champú 400 g (881-14861),CorradoEquipe,24.0,B00OOUF48K,
18-04-2023,https://m.media-amazon.com/images/I/61frKUCrCDL.__AC_SX300_SY300_QL70_ML2_.jpg,davines heart of glass rich acondicionador 250 ml,CorradoEquipe,32.5,B08SXQTV52,8004608271697
18-04-2023,https://m.media-amazon.com/images/I/614MHILl3bL.__AC_SX300_SY300_QL70_ML2_.jpg,"davines volu - champú, 250 ml",CorradoEquipe,20.5,B00OOVKJW0,
18-04-2023,https://m.media-amazon.com/images/I/71PVafX1+XL._AC_SY300_SX300_.jpg,davines oi hair butter 250 ml,CorradoEquipe,36.6,QUATERNIUM,
18-04-2023,https://m.media-amazon.com/images/I/71m++AbY9-L._AC_SX522_.jpg,davines love smoothing conditioner - acondicionador suavizante para cabellos rebeldes 250ml - new formula 2022,CorradoEquipe,24.95,B09P1Q331R,
18-04-2023,https://m.media-amazon.com/images/I/41Dqi+lLiqL._SY445_SX342_.jpg,davines naturaltech shampoing energizing 250ml.,CorradoEquipe,24.02,B06ZZ6CDY1,
