fecha,imagen,nombre,distribuidor,precio,ASIN,EAN
18-04-2023,https://m.media-amazon.com/images/I/61JNPqSDvdS._AC_SY879_.jpg,davines champú - 280 ml,DudeBeauty,20.9,B00ZPQ129C,8004608247630
18-04-2023,https://m.media-amazon.com/images/I/71eQCAdLgUL._AC_SY879_.jpg,davines oi oil absolute beautifying potion 135 ml,DudeBeauty,41.4,B006TH5DUK,
18-04-2023,https://m.media-amazon.com/images/I/81rPSzWE1YL._AC_SY879_.jpg,davines naturaltech renewing shampoo 250ml - champù de longevidad todo.,DudeBeauty,19.89,B06XSF4R1X,8004608255093
18-04-2023,https://m.media-amazon.com/images/I/51B+6TcPl0L._AC_SX522_.jpg,davines nourishing naturaltech shampoo 250 ml,DudeBeauty,19.78,B07XT173PR,
18-04-2023,https://m.media-amazon.com/images/I/71IXlMO4HRL._AC_SX522_.jpg,davines love smooth mask 250ml disciplinante nuevo formato,DudeBeauty,23.9,B09PM1Y63S,8004608275565
18-04-2023,https://m.media-amazon.com/images/I/614MHILl3bL._AC_SY879_.jpg,"davines volu - champú, 250 ml",DudeBeauty,18.8,B00OOVKJW0,
18-04-2023,https://m.media-amazon.com/images/I/71PVafX1+XL._AC_SX522_.jpg,davines oi hair butter 250 ml,DudeBeauty,31.7,QUATERNIUM,
18-04-2023,https://m.media-amazon.com/images/I/71hXwUbVknL._AC_SY879_.jpg,davines love lovely curl enchancing shampoo (for wavy or curly hair) 2.,DudeBeauty,20.7,B0026H1JOQ,
18-04-2023,https://m.media-amazon.com/images/I/91J036FcEYL._AC_SX522_.jpg,davines more inside forming pomade 75ml,DudeBeauty,22.9,B01H25XZKW,
18-04-2023,https://m.media-amazon.com/images/I/81DpKjyy8+L._SX522_.jpg,davines naturaltech renewing conditioning treatment 250ml - acondicion.,DudeBeauty,27.9,B06XSD22ZB,8004608255116
18-04-2023,https://m.media-amazon.com/images/I/61Wwg13uZAL._AC_SX522_.jpg,"davines oi liquid luster, tratamiento de enjuague nutritivo, añadir brillo sin peso, 10.5 fl oz (17313)",DudeBeauty,37.7,B09V6P9MBC,
18-04-2023,https://m.media-amazon.com/images/I/41dMkLTx-xL._AC_SX522_.jpg,davines essential melu conditioner 250 ml - 250 ml,DudeBeauty,21.79,SCLEROTIUM,
18-04-2023,https://m.media-amazon.com/images/I/617hFXLgy1L._AC_SY879_.jpg,davines essential melu shampoo 250 ml,DudeBeauty,17.9,B00OOUSJ0A,8004608246206
18-04-2023,https://m.media-amazon.com/images/I/717j3O4NbpL._AC_SX522_.jpg,"davines we stand for regeneration - lavado para el cabello y el cuerpo de edición limitada, 8.45 onzas líquidas",DudeBeauty,18.4,B0B4BNHMGD,
18-04-2023,https://m.media-amazon.com/images/I/61aNnP2A17L._SX522_.jpg,davines dede conditioner 250ml,DudeBeauty,20.42,B00OKRSQQY,
18-04-2023,https://m.media-amazon.com/images/I/71QJvwDKQPL._SY679_.jpg,davines melu escudo - 250 ml.,DudeBeauty,29.48,B00OOVAJV6,
18-04-2023,https://m.media-amazon.com/images/I/718f-kCb10L._SX522_.jpg,davines more inside medium hold finishing gum - 75 ml,DudeBeauty,22.98,B00GB8OJA2,
18-04-2023,https://m.media-amazon.com/images/I/41FPLmCU8oL._AC_SX355_.jpg,davines more inside – strong moulding clay,DudeBeauty,22.9,B075G11QYF,
18-04-2023,https://m.media-amazon.com/images/I/81u0DiMx2WL._AC_SY879_.jpg,davines naturaltech well-being shampoo 250ml,DudeBeauty,19.89,B0746GWGX6,
18-04-2023,https://m.media-amazon.com/images/I/618XsBsIeZL._SX522_.jpg,davines essential acondicionador nounou 250 ml - 250 ml,DudeBeauty,23.82,B0165H0JHU,8004608242031
18-04-2023,https://m.media-amazon.com/images/I/61BE+HkCXLL._AC_SY879_.jpg,davines heart of glass sheer glaze 150 ml,DudeBeauty,23.4,B08SXQKBFD,
18-04-2023,https://m.media-amazon.com/images/I/41cxszUCo6L._AC_.jpg,davines love curl conditioner 250ml - acondicionador elastificante y controlador para cabello ondulado o rizado - new pak 2022,DudeBeauty,21.79,B09P1QXNPK,
18-04-2023,https://m.media-amazon.com/images/I/615TtgIbd1L._AC_SX522_.jpg,davines momo moisturizing conditioner (for dry or dehydrated hair) 250.,DudeBeauty,26.93,B0016191HU,
18-04-2023,https://m.media-amazon.com/images/I/61POgcMSYiL._AC_SY879_.jpg,"davines - leche protectora solar para el cabello su hair milk, 135 ml",DudeBeauty,21.2,B07BNRR82Z,
18-04-2023,https://m.media-amazon.com/images/I/61eQxA53VLL._SX522_.jpg,davines essential nounou mask 250 ml - 250 ml,DudeBeauty,23.9,B00OKQW8UK,8004608242079
18-04-2023,https://m.media-amazon.com/images/I/81OOWiPkwGL._AC_SY879_.jpg,davines naturaltech detoxifying scrub champú 250 ml,DudeBeauty,19.89,B0073G313C,
18-04-2023,https://m.media-amazon.com/images/I/81rSIbr2v9L._SY679_.jpg,"davines 69230 - champú, 250 ml",DudeBeauty,21.4,B0073FTCJU,
18-04-2023,https://m.media-amazon.com/images/I/7101O1RUYlL._SY679_.jpg,davines essential champú dede 295000 g,DudeBeauty,17.4,B0165GY9VI,
18-04-2023,https://m.media-amazon.com/images/I/617LFfN0y2L._SY679_.jpg,davines essential solu champú 400 g (881-14861),DudeBeauty,18.89,B00OOUF48K,
18-04-2023,https://m.media-amazon.com/images/I/61PkAII-MvL._AC_SX522_.jpg,davines davines love mask rizo 250ml 250 ml,DudeBeauty,23.7,B073WW3KZL,
18-04-2023,https://m.media-amazon.com/images/I/71wmKzvGLML._SY679_.jpg,davines naturaltech shampoing energizing 250ml.,DudeBeauty,21.4,B06ZZ6CDY1,
18-04-2023,https://m.media-amazon.com/images/I/71ONvn43fDL._SY679_.jpg,davines naturaltech replumping acondicionador 150 ml,DudeBeauty,19.5,B00GTW4QQ2,
