fecha,imagen,nombre,distribuidor,precio,ASIN,EAN
18-04-2023,https://m.media-amazon.com/images/I/61R0Gfz7SoL.__AC_SX300_SY300_QL70_ML2_.jpg,davines champú love smoothing - 250 ml,GoodCareCosmetics,19.9,B00U1JHWR4,8004608245872
18-04-2023,https://m.media-amazon.com/images/I/615TtgIbd1L.__AC_SX300_SY300_QL70_ML2_.jpg,davines momo moisturizing conditioner (for dry or dehydrated hair) 250.,GoodCareCosmetics,22.5,B0016191HU,
18-04-2023,https://m.media-amazon.com/images/I/716gvvoUnwL.__AC_SX300_SY300_QL70_ML2_.jpg,davines more inside relaxing moisturizing fluid crema - 125 ml,GoodCareCosmetics,20.63,B00GB8V338,8004608237495
18-04-2023,https://m.media-amazon.com/images/I/71XAYvBZTkL.__AC_SX300_SY300_QL70_ML2_.jpg,davines heart of glass silkening champu 250 ml,GoodCareCosmetics,21.91,B08SXSWC7Y,8004608271666
18-04-2023,https://m.media-amazon.com/images/I/31BzXIf2PeL._SX342_SY445_QL70_ML2_.jpg,"davines momo - champú, 250 ml (881-42109)",GoodCareCosmetics,19.9,B001ARP2LY,
18-04-2023,https://m.media-amazon.com/images/I/61NiiZlnaRL.__AC_SX300_SY300_QL70_ML2_.jpg,davines melu mellow anti-breakage conditioner ecomille 265 g,GoodCareCosmetics,69.91,B005FNKMF0,
18-04-2023,https://m.media-amazon.com/images/I/313tLMhFvTL._SX342_SY445_QL70_ML2_.jpg,davines ntech champú replumping 1kg,GoodCareCosmetics,74.9,B00JBNQMYA,
18-04-2023,https://m.media-amazon.com/images/I/31FiOank5vL._SY445_SX342_QL70_ML2_.jpg,davines essential nounou mask 250 ml - 250 ml,GoodCareCosmetics,29.91,B00OKQW8UK,8004608242079
18-04-2023,https://m.media-amazon.com/images/I/71BBkSF179L.__AC_SX300_SY300_QL70_ML2_.jpg,davines serum para el cabello - 150 ml,GoodCareCosmetics,22.9,B00OKNJQU8,8004608242666
18-04-2023,https://m.media-amazon.com/images/I/61frKUCrCDL.__AC_SX300_SY300_QL70_ML2_.jpg,davines heart of glass rich acondicionador 250 ml,GoodCareCosmetics,28.52,B08SXQTV52,8004608271697
18-04-2023,https://m.media-amazon.com/images/I/512qwZ1PlQL._SY445_SX342_QL70_ML2_.jpg,davines more inside medium hold finishing gum - 75 ml,GoodCareCosmetics,23.9,B00GB8OJA2,
18-04-2023,https://m.media-amazon.com/images/I/41cIT61V-YL._SX342_SY445_QL70_ML2_.jpg,davines more inside sea salt spray - 250 ml,GoodCareCosmetics,23.74,B00GB8IA5C,8004608258346
18-04-2023,https://m.media-amazon.com/images/I/710Mkvp7dwL.__AC_SX300_SY300_QL70_ML2_.jpg,davines naturaltech nourishing champú 250 ml,GoodCareCosmetics,21.91,B0073FD66A,
18-04-2023,https://m.media-amazon.com/images/I/41RF3BYRjTL._SY445_SX342_QL70_ML2_.jpg,davines tcc the purity circle - 50 ml,GoodCareCosmetics,8.69,B076QFV8CW,8004608258179
18-04-2023,https://m.media-amazon.com/images/I/31MYdbHYWFL._SX342_SY445_QL70_ML2_.jpg,davines more inside medium hold pliable paste - 125 ml,GoodCareCosmetics,25.91,B00GB8WZN0,8004608237419
18-04-2023,https://m.media-amazon.com/images/I/31qD6-tNBSL._SY445_SX342_QL70_ML2_.jpg,davines ntech champú regulador 154000 g,GoodCareCosmetics,71.45,B0073FUCQC,
