fecha,imagen,nombre,distribuidor,precio,ASIN,EAN
18-04-2023,https://m.media-amazon.com/images/I/71kMQxQ4VHL._AC_SY879_.jpg,davines naturaltech replumping champú 250 ml,HairLowers,22.0,B00GTW4S3S,8004608240389
18-04-2023,https://m.media-amazon.com/images/I/61v4ss6INzL._AC_SX522_.jpg,"sebastian professional dark oil | mascarilla capilar | hidrata y suaviza | aporta cuerpo | para todo tipo de cabello, 150 ml",HairLowers,23.5,B07VK8YWFJ,
18-04-2023,https://m.media-amazon.com/images/I/61V7aBeAwJL._SX522_.jpg,redken brews maneuver - cera para fijar el cabello con acabado mate,HairLowers,17.0,B0795YQ8H6,
18-04-2023,https://m.media-amazon.com/images/I/61v-76U3i+L._AC_SX522_.jpg,natural tech nutritivo reparador milagro reparador sérum (para cabello extremadamente dañado),HairLowers,79.78,B00NQZYLKG,
18-04-2023,https://m.media-amazon.com/images/I/71aMsFzcohL._SY679_.jpg,"davines natural tech energizing gel (for scalp & fragile, thinning hai.",HairLowers,29.0,B074SJ9H4M,8004608255550
18-04-2023,https://m.media-amazon.com/images/I/71RjVAaX4BL._SX522_.jpg,"redken | mascarilla reparadora con proteínas para cabello dañado, extreme strength builder plus, formato 250 ml",HairLowers,26.44,B08Y178YMS,
18-04-2023,https://m.media-amazon.com/images/I/31kv43SNoPL._AC_.jpg,davines solu/champú all hair types 250 ml,HairLowers,20.0,B07JQPT1MN,8004608202905
18-04-2023,https://m.media-amazon.com/images/I/61L3TxAWYWL._AC_SX522_.jpg,davines naturaltech calming shampoo 250ml,HairLowers,19.75,B074HB44JQ,
18-04-2023,https://m.media-amazon.com/images/I/617hFXLgy1L._AC_SY879_.jpg,davines essential melu shampoo 250 ml,HairLowers,19.0,B00OOUSJ0A,8004608246206
18-04-2023,https://m.media-amazon.com/images/I/61efmekJOJL._AC_SY879_.jpg,davines natural tech purifying shampoo (for scalp with oily or dry dan.,HairLowers,20.6,B0073FO9AM,
18-04-2023,https://m.media-amazon.com/images/I/61BE+HkCXLL._AC_SY879_.jpg,davines heart of glass sheer glaze 150 ml,HairLowers,24.0,B08SXQKBFD,
18-04-2023,https://m.media-amazon.com/images/I/7101O1RUYlL._SY679_.jpg,davines essential champú dede 295000 g,HairLowers,19.6,B0165GY9VI,
18-04-2023,https://m.media-amazon.com/images/I/71eQCAdLgUL._AC_SY879_.jpg,davines oi oil absolute beautifying potion 135 ml,HairLowers,36.9,B006TH5DUK,
18-04-2023,https://m.media-amazon.com/images/I/61VFtW881fL._SY679_.jpg,"davines momo - champú, 250 ml (881-42109)",HairLowers,22.0,B001ARP2LY,
18-04-2023,https://m.media-amazon.com/images/I/51tqI4Llw6L._AC_SY741_.jpg,"davines minu - champú, 250 ml",HairLowers,19.0,B00OKME7S0,
18-04-2023,https://m.media-amazon.com/images/I/71XAYvBZTkL._AC_SY879_.jpg,davines heart of glass silkening champu 250 ml,HairLowers,19.9,B08SXSWC7Y,8004608271666
18-04-2023,https://m.media-amazon.com/images/I/61R0Gfz7SoL._AC_SY879_.jpg,davines champú love smoothing - 250 ml,HairLowers,19.15,B00U1JHWR4,8004608245872
