fecha,imagen,nombre,distribuidor,precio,ASIN,EAN
18-04-2023,https://m.media-amazon.com/images/I/8171xcBNwDL._AC_SY879_.jpg,davines more inside curl building serum - 250 ml,KappyLook,23.5,B00GCCQ3DI,
18-04-2023,https://m.media-amazon.com/images/I/61frKUCrCDL.__AC_SX300_SY300_QL70_ML2_.jpg,davines heart of glass rich acondicionador 250 ml,KappyLook,31.0,B08SXQTV52,8004608271697
18-04-2023,https://m.media-amazon.com/images/I/61PkAII-MvL.__AC_SX300_SY300_QL70_ML2_.jpg,davines davines love mask rizo 250ml 250 ml,KappyLook,30.5,B073WW3KZL,
18-04-2023,https://m.media-amazon.com/images/I/41Dqi+lLiqL._SY445_SX342_.jpg,davines naturaltech shampoing energizing 250ml.,KappyLook,22.5,B06ZZ6CDY1,
18-04-2023,https://m.media-amazon.com/images/I/31BzXIf2PeL._SX342_SY445_QL70_ML2_.jpg,"davines momo - champú, 250 ml (881-42109)",KappyLook,20.0,B001ARP2LY,
18-04-2023,https://m.media-amazon.com/images/I/614MHILl3bL.__AC_SX300_SY300_QL70_ML2_.jpg,"davines volu - champú, 250 ml",KappyLook,20.0,B00OOVKJW0,
18-04-2023,https://m.media-amazon.com/images/I/51tqI4Llw6L.__AC_SX300_SY300_QL70_ML2_.jpg,"davines minu - champú, 250 ml",KappyLook,20.0,B00OKME7S0,
18-04-2023,https://m.media-amazon.com/images/I/71OgThhD4dL.__AC_SX300_SY300_QL70_ML2_.jpg,davines nourishing vegetarian miracle conditionernew 2019 250 ml,KappyLook,30.0,B0813DB98Y,
18-04-2023,https://m.media-amazon.com/images/I/71XAYvBZTkL.__AC_SX300_SY300_QL70_ML2_.jpg,davines heart of glass silkening champu 250 ml,KappyLook,24.75,B08SXSWC7Y,8004608271666
18-04-2023,https://m.media-amazon.com/images/I/81q7YTG7isL.__AC_SX300_SY300_QL70_ML2_.jpg,davines natural tech renewing - tratamiento acondicionador para todo tipo de cabello y escalada (250 ml),KappyLook,28.0,B07D1RG262,
18-04-2023,https://m.media-amazon.com/images/I/61Wwg13uZAL.__AC_SX300_SY300_QL70_ML2_.jpg,"davines oi liquid luster, tratamiento de enjuague nutritivo, añadir brillo sin peso, 10.5 fl oz (17313)",KappyLook,39.25,B09V6P9MBC,
18-04-2023,https://m.media-amazon.com/images/I/51BUnKgpjuL.__AC_SX300_SY300_QL70_ML2_.jpg,davines natural tech renewing shampoo (for all scalp and hair types) 1000ml,KappyLook,54.25,B07CWLKDQ9,
18-04-2023,https://m.media-amazon.com/images/I/51h3qk1un+L._SX342_SY445_.jpg,davines naturaltech renewing conditioning treatment 250ml - acondicion.,KappyLook,28.0,B06XSD22ZB,8004608255116
18-04-2023,https://m.media-amazon.com/images/I/41dMkLTx-xL.__AC_SX300_SY300_QL70_ML2_.jpg,davines essential melu conditioner 250 ml - 250 ml,KappyLook,22.5,SCLEROTIUM,
