fecha,imagen,nombre,distribuidor,precio,ASIN,EAN
18-04-2023,https://m.media-amazon.com/images/I/61JNPqSDvdS._AC_SY879_.jpg,davines champú - 280 ml,Lui&LeiBeauty,20.9,B00ZPQ129C,8004608247630
18-04-2023,https://m.media-amazon.com/images/I/7101O1RUYlL._SY679_.jpg,davines essential champú dede 295000 g,Lui&LeiBeauty,18.8,B0165GY9VI,
18-04-2023,https://m.media-amazon.com/images/I/614MHILl3bL.__AC_SX300_SY300_QL70_ML2_.jpg,"davines volu - champú, 250 ml",Lui&LeiBeauty,18.8,B00OOVKJW0,
18-04-2023,https://m.media-amazon.com/images/I/8142knfncSL.__AC_SX300_SY300_QL70_ML2_.jpg,davines naturaltech nourishing hair building pak 250 ml,Lui&LeiBeauty,43.1,B0073FH3L4,
18-04-2023,https://m.media-amazon.com/images/I/61frKUCrCDL.__AC_SX300_SY300_QL70_ML2_.jpg,davines heart of glass rich acondicionador 250 ml,Lui&LeiBeauty,30.2,B08SXQTV52,8004608271697
18-04-2023,https://m.media-amazon.com/images/I/71PVafX1+XL._AC_SY300_SX300_.jpg,davines oi hair butter 250 ml,Lui&LeiBeauty,31.7,QUATERNIUM,
18-04-2023,https://m.media-amazon.com/images/I/31MHl3LSqcL._SX342_SY445_QL70_ML2_.jpg,davines naturaltech replumping acondicionador 150 ml,Lui&LeiBeauty,21.5,B00GTW4QQ2,
18-04-2023,https://m.media-amazon.com/images/I/61PkAII-MvL.__AC_SX300_SY300_QL70_ML2_.jpg,davines davines love mask rizo 250ml 250 ml,Lui&LeiBeauty,25.9,B073WW3KZL,
18-04-2023,https://m.media-amazon.com/images/I/81rPSzWE1YL.__AC_SX300_SY300_QL70_ML2_.jpg,davines naturaltech renewing shampoo 250ml - champù de longevidad todo.,Lui&LeiBeauty,21.4,B06XSF4R1X,8004608255093
18-04-2023,https://m.media-amazon.com/images/I/61LHp8f1xwL.__AC_SX300_SY300_QL70_ML2_.jpg,davines alchemic conditioner red (for natural & red or mahogany hair) 250ml,Lui&LeiBeauty,32.6,B075PD298Q,
18-04-2023,https://m.media-amazon.com/images/I/31kIp7wg5eL._SY445_SX342_QL70_ML2_.jpg,davines essential acondicionador nounou 250 ml - 250 ml,Lui&LeiBeauty,22.4,B0165H0JHU,8004608242031
18-04-2023,https://m.media-amazon.com/images/I/31EcJu7GivL._SY445_SX342_QL70_ML2_.jpg,davines love acondicionador taming enchancing curl - 250 ml (paquete de 1),Lui&LeiBeauty,22.43,B073DC69S6,
18-04-2023,https://m.media-amazon.com/images/I/61BE+HkCXLL._AC_SY300_SX300_.jpg,davines heart of glass sheer glaze 150 ml,Lui&LeiBeauty,28.1,B08SXQKBFD,
18-04-2023,https://m.media-amazon.com/images/I/311QHgJvukL._SX342_SY445_QL70_ML2_.jpg,"davines volu hair mist - cuidado capilar, 250 ml",Lui&LeiBeauty,33.5,B00OOVQVGS,
18-04-2023,https://m.media-amazon.com/images/I/313Kd0CJjoL._SX342_SY445_QL70_ML2_.jpg,davines naturaltech well being acondicionador 150 ml,Lui&LeiBeauty,21.5,B0073FWI0K,
18-04-2023,https://m.media-amazon.com/images/I/315rGHR5qTL._SX342_SY445_QL70_ML2_.jpg,"davines love curl controller - crema para cabello, 150 ml",Lui&LeiBeauty,24.2,B073SYN8HG,8004608257202
18-04-2023,https://m.media-amazon.com/images/I/41LDF4oz4hL._SY445_SX342_QL70_ML2_.jpg,davines tcc the wake-up circle 50 ml.,Lui&LeiBeauty,10.0,B076QFZPCS,8004608258193
18-04-2023,https://m.media-amazon.com/images/I/61Wwg13uZAL.__AC_SX300_SY300_QL70_ML2_.jpg,"davines oi liquid luster, tratamiento de enjuague nutritivo, añadir brillo sin peso, 10.5 fl oz (17313)",Lui&LeiBeauty,39.0,B09V6P9MBC,
18-04-2023,https://m.media-amazon.com/images/I/512qwZ1PlQL._SY445_SX342_QL70_ML2_.jpg,davines more inside medium hold finishing gum - 75 ml,Lui&LeiBeauty,22.9,B00GB8OJA2,
18-04-2023,https://m.media-amazon.com/images/I/816IvMudwCL.__AC_SX300_SY300_QL70_ML2_.jpg,"daviness, acondicionador de pelo - 125 gr.",Lui&LeiBeauty,18.6,B00GB8T5P6,8004608237471
