fecha,imagen,nombre,distribuidor,precio,ASIN,EAN
18-04-2023,https://m.media-amazon.com/images/I/8171xcBNwDL._AC_SY879_.jpg,davines more inside curl building serum - 250 ml,P&CProfesional,21.15,B00GCCQ3DI,
18-04-2023,https://m.media-amazon.com/images/I/51B+6TcPl0L._AC_SX522_.jpg,davines nourishing naturaltech shampoo 250 ml,P&CProfesional,20.25,B07XT173PR,
18-04-2023,https://m.media-amazon.com/images/I/71ONvn43fDL._SY679_.jpg,davines naturaltech replumping acondicionador 150 ml,P&CProfesional,19.13,B00GTW4QQ2,
18-04-2023,https://m.media-amazon.com/images/I/61VFtW881fL._SY679_.jpg,"davines momo - champú, 250 ml (881-42109)",P&CProfesional,18.0,B001ARP2LY,
18-04-2023,https://m.media-amazon.com/images/I/61efmekJOJL._AC_SY879_.jpg,davines natural tech purifying shampoo (for scalp with oily or dry dan.,P&CProfesional,20.25,B0073FO9AM,
18-04-2023,https://m.media-amazon.com/images/I/71eQCAdLgUL._AC_SY879_.jpg,davines oi oil absolute beautifying potion 135 ml,P&CProfesional,38.68,B006TH5DUK,
18-04-2023,https://m.media-amazon.com/images/I/71VKDzk0r1L._AC_SX522_.jpg,davines essential haircare oi/shampoo - absolute beautifying shampoo.,P&CProfesional,53.55,B00HUEGDZU,8004608240730
18-04-2023,https://m.media-amazon.com/images/I/51tqI4Llw6L._AC_SY741_.jpg,"davines minu - champú, 250 ml",P&CProfesional,18.0,B00OKME7S0,
18-04-2023,https://m.media-amazon.com/images/I/81Oaf-dCApL._AC_SY879_.jpg,"davines natural tech energizing – champú para cabellos finos, fragiles y con tendencia a la caída",P&CProfesional,20.25,B006JYMPUO,
18-04-2023,https://m.media-amazon.com/images/I/61POgcMSYiL._AC_SY879_.jpg,"davines - leche protectora solar para el cabello su hair milk, 135 ml",P&CProfesional,26.99,B07BNRR82Z,
18-04-2023,https://m.media-amazon.com/images/I/716gvvoUnwL._AC_SY879_.jpg,davines more inside relaxing moisturizing fluid crema - 125 ml,P&CProfesional,19.13,B00GB8V338,8004608237495
18-04-2023,https://m.media-amazon.com/images/I/61LnDOXZX8L._SX522_.jpg,davines tcc the quick fix circle 50 ml.,P&CProfesional,11.0,B07661NQDH,8004608258216
